2026-07-18 21:32:25 | INFO     | services.document_service | Removed document 'SubVerse_AI_Interview_QnA.pdf' (25 chunks)
2026-07-18 21:32:26 | INFO     | core.vector_store | Deleted 16 chunk(s) for source 'SubVerse_AI_JD_Interview_QnA.pdf'
2026-07-18 21:32:26 | INFO     | utils.file_utils | Deleted uploaded file 'SubVerse_AI_JD_Interview_QnA.pdf'
2026-07-18 21:32:26 | INFO     | services.document_service | Removed document 'SubVerse_AI_JD_Interview_QnA.pdf' (16 chunks)
2026-07-18 21:32:27 | INFO     | core.vector_store | Deleted 1 chunk(s) for source 'certificate-5ssg9hjyg7we-1784106362.pdf'
2026-07-18 21:32:27 | INFO     | utils.file_utils | Deleted uploaded file 'certificate-5ssg9hjyg7we-1784106362.pdf'
2026-07-18 21:32:27 | INFO     | services.document_service | Removed document 'certificate-5ssg9hjyg7we-1784106362.pdf' (1 chunks)
2026-07-18 21:32:27 | INFO     | core.vector_store | Deleted 1 chunk(s) for source 'certificate-sw5ohiwocdoi-1784106706.pdf'
2026-07-18 21:32:27 | INFO     | utils.file_utils | Deleted uploaded file 'certificate-sw5ohiwocdoi-1784106706.pdf'
2026-07-18 21:32:27 | INFO     | services.document_service | Removed document 'certificate-sw5ohiwocdoi-1784106706.pdf' (1 chunks)
